IDUtente, tipo, nome, cognome, e-mail, numeroCellulare, codiceFiscale, passwordUtente
2126, D, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2128,A, Luca, Nuovo, admin, 3214213211, PPEWJDLSA21930U, admin
2136,U, Giorgio,Ippolito,dsdsa@dsa.it,1231231231,RSSMRA85T10A562S,CiaoAA99&
2131,D, Luca, Luca, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2133,D, Massimo, Luca, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2129,D, Luca, Mannino, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2130,D, Adriano, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2132,D, Luca, Genoeffo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2135,U,Giuseppe,Marinoaaa,utente,1231231231,RSSMRA85T10A562S,utente
2121,D,Giorgio,Presta,test,3214213211,PPEWJDLSA21930U, test
