IDUtente, tipo, nome, cognome, e-mail, numeroCellulare, codiceFiscale, passwordUtente
2121, D, Giorgio, Prest, test, 3214213211, PPEWJDLSA21930U, test
2124, D, Simona, Verdi, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2126, D, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2128,A, Luca, Nuovo, admin, 3214213211, PPEWJDLSA21930U, admin
2129,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2130,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2131,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2132,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2133,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2134,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2136,U, Giorgio,Ippolito,dsdsa@dsa.it,1231231231,RSSMRA85T10A562S,CiaoAA99&
2135,U,Giuseppe,Marino,utente,1231231231,RSSMRA85T10A562S,utente
