IDUtente, tipo, nome, cognome, e-mail, numeroCellulare, codiceFiscale, passwordUtente
2121, D, Giorgio, Prest, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2124, D, Simona, Verdi, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2126, D, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2128,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2129,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2130,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2131,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2132,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2133,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2134,A, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
