IDUtente, tipo, nome, cognome, e-mail, numeroCellulare, codiceFiscale, passwordUtente
2126, D, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2128,A, Luca, Nuovo, admin, 3214213211, PPEWJDLSA21930U, admin
2136,U, Giorgio,Ippolito,dsdsa@dsa.it,1231231231,RSSMRA85T10A562S,CiaoAA99&
2135,U,Giuseppe,Marino,utente,1231231231,RSSMRA85T10A562S,utente
2131,D, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2133,D, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2129,D, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2130,D, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2132,D, Luca, Nuovo, fra.98@dsada.ut, 3214213211, PPEWJDLSA21930U, banana
2121,D, Giorgio, Prest, test, 3214213211, PPEWJDLSA21930U, test
